COVID-19_varianten;;;;;;
Version;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;Sample_size;Variant_cases
1;44165,00;B.1.351;Beta;VOC;107;0
1;44165,00;P.1;Gamma;VOC;107;0
1;44165,00;B.1.617.2;Delta;VOC;107;0
1;44165,00;B.1.620;;VOI;107;0
1;44165,00;B.1.621;Mu;VOI;107;0
1;44165,00;C.37;Lambda;VOI;107;0
1;44165,00;B.1.1.7;Alpha;DEV;107;1
1;44165,00;B.1.525;Eta;DEV;107;0
1;44165,00;B.1.617.1;Kappa;DEV;107;0
1;44165,00;B.1.526;Iota;DEV;107;0
1;44172,00;B.1.351;Beta;VOC;127;0
1;44172,00;P.1;Gamma;VOC;127;0
1;44172,00;B.1.617.2;Delta;VOC;127;0
1;44172,00;B.1.620;;VOI;127;0
1;44172,00;B.1.621;Mu;VOI;127;0
1;44172,00;C.37;Lambda;VOI;127;0
1;44172,00;B.1.1.7;Alpha;DEV;127;1
1;44172,00;B.1.525;Eta;DEV;127;0
1;44172,00;B.1.617.1;Kappa;DEV;127;0
1;44172,00;B.1.526;Iota;DEV;127;0
1;44179,00;B.1.351;Beta;VOC;203;0
1;44179,00;P.1;Gamma;VOC;203;0
1;44179,00;B.1.617.2;Delta;VOC;203;0
1;44179,00;B.1.620;;VOI;203;0
1;44179,00;B.1.621;Mu;VOI;203;0
1;44179,00;C.37;Lambda;VOI;203;0
1;44179,00;B.1.1.7;Alpha;DEV;203;1
1;44179,00;B.1.525;Eta;DEV;203;0
1;44179,00;B.1.617.1;Kappa;DEV;203;0
1;44179,00;B.1.526;Iota;DEV;203;0
1;44186,00;B.1.351;Beta;VOC;257;1
1;44186,00;P.1;Gamma;VOC;257;0
1;44186,00;B.1.617.2;Delta;VOC;257;0
1;44186,00;B.1.620;;VOI;257;0
1;44186,00;B.1.621;Mu;VOI;257;0
1;44186,00;C.37;Lambda;VOI;257;0
1;44186,00;B.1.1.7;Alpha;DEV;257;5
1;44186,00;B.1.525;Eta;DEV;257;0
1;44186,00;B.1.617.1;Kappa;DEV;257;0
1;44186,00;B.1.526;Iota;DEV;257;0
1;44193,00;B.1.351;Beta;VOC;207;1
1;44193,00;P.1;Gamma;VOC;207;0
1;44193,00;B.1.617.2;Delta;VOC;207;0
1;44193,00;B.1.620;;VOI;207;0
1;44193,00;B.1.621;Mu;VOI;207;0
1;44193,00;C.37;Lambda;VOI;207;0
1;44193,00;B.1.1.7;Alpha;DEV;207;9
1;44193,00;B.1.525;Eta;DEV;207;0
1;44193,00;B.1.617.1;Kappa;DEV;207;0
1;44193,00;B.1.526;Iota;DEV;207;0
1;44200,00;B.1.351;Beta;VOC;356;0
1;44200,00;P.1;Gamma;VOC;356;0
1;44200,00;B.1.617.2;Delta;VOC;356;0
1;44200,00;B.1.620;;VOI;356;0
1;44200,00;B.1.621;Mu;VOI;356;0
1;44200,00;C.37;Lambda;VOI;356;0
1;44200,00;B.1.1.7;Alpha;DEV;356;45
1;44200,00;B.1.525;Eta;DEV;356;0
1;44200,00;B.1.617.1;Kappa;DEV;356;0
1;44200,00;B.1.526;Iota;DEV;356;0
1;44207,00;B.1.351;Beta;VOC;303;3
1;44207,00;P.1;Gamma;VOC;303;0
1;44207,00;B.1.617.2;Delta;VOC;303;0
1;44207,00;B.1.620;;VOI;303;0
1;44207,00;B.1.621;Mu;VOI;303;0
1;44207,00;C.37;Lambda;VOI;303;0
1;44207,00;B.1.1.7;Alpha;DEV;303;60
1;44207,00;B.1.525;Eta;DEV;303;0
1;44207,00;B.1.617.1;Kappa;DEV;303;0
1;44207,00;B.1.526;Iota;DEV;303;0
1;44214,00;B.1.351;Beta;VOC;651;3
1;44214,00;P.1;Gamma;VOC;651;0
1;44214,00;B.1.617.2;Delta;VOC;651;0
1;44214,00;B.1.620;;VOI;651;0
1;44214,00;B.1.621;Mu;VOI;651;0
1;44214,00;C.37;Lambda;VOI;651;0
1;44214,00;B.1.1.7;Alpha;DEV;651;158
1;44214,00;B.1.525;Eta;DEV;651;0
1;44214,00;B.1.617.1;Kappa;DEV;651;0
1;44214,00;B.1.526;Iota;DEV;651;0
1;44221,00;B.1.351;Beta;VOC;877;14
1;44221,00;P.1;Gamma;VOC;877;1
1;44221,00;B.1.617.2;Delta;VOC;877;0
1;44221,00;B.1.620;;VOI;877;0
1;44221,00;B.1.621;Mu;VOI;877;0
1;44221,00;C.37;Lambda;VOI;877;0
1;44221,00;B.1.1.7;Alpha;DEV;877;214
1;44221,00;B.1.525;Eta;DEV;877;0
1;44221,00;B.1.617.1;Kappa;DEV;877;0
1;44221,00;B.1.526;Iota;DEV;877;0
1;44228,00;B.1.351;Beta;VOC;867;18
1;44228,00;P.1;Gamma;VOC;867;0
1;44228,00;B.1.617.2;Delta;VOC;867;0
1;44228,00;B.1.620;;VOI;867;0
1;44228,00;B.1.621;Mu;VOI;867;0
1;44228,00;C.37;Lambda;VOI;867;0
1;44228,00;B.1.1.7;Alpha;DEV;867;206
1;44228,00;B.1.525;Eta;DEV;867;2
1;44228,00;B.1.617.1;Kappa;DEV;867;0
1;44228,00;B.1.526;Iota;DEV;867;0
1;44235,00;B.1.351;Beta;VOC;937;30
1;44235,00;P.1;Gamma;VOC;937;0
1;44235,00;B.1.617.2;Delta;VOC;937;0
1;44235,00;B.1.620;;VOI;937;0
1;44235,00;B.1.621;Mu;VOI;937;0
1;44235,00;C.37;Lambda;VOI;937;0
1;44235,00;B.1.1.7;Alpha;DEV;937;250
1;44235,00;B.1.525;Eta;DEV;937;1
1;44235,00;B.1.617.1;Kappa;DEV;937;0
1;44235,00;B.1.526;Iota;DEV;937;0
1;44242,00;B.1.351;Beta;VOC;1048;32
1;44242,00;P.1;Gamma;VOC;1048;1
1;44242,00;B.1.617.2;Delta;VOC;1048;0
1;44242,00;B.1.620;;VOI;1048;0
1;44242,00;B.1.621;Mu;VOI;1048;0
1;44242,00;C.37;Lambda;VOI;1048;0
1;44242,00;B.1.1.7;Alpha;DEV;1048;617
1;44242,00;B.1.525;Eta;DEV;1048;4
1;44242,00;B.1.617.1;Kappa;DEV;1048;0
1;44242,00;B.1.526;Iota;DEV;1048;0
1;44249,00;B.1.351;Beta;VOC;1037;19
1;44249,00;P.1;Gamma;VOC;1037;3
1;44249,00;B.1.617.2;Delta;VOC;1037;0
1;44249,00;B.1.620;;VOI;1037;0
1;44249,00;B.1.621;Mu;VOI;1037;0
1;44249,00;C.37;Lambda;VOI;1037;0
1;44249,00;B.1.1.7;Alpha;DEV;1037;793
1;44249,00;B.1.525;Eta;DEV;1037;0
1;44249,00;B.1.617.1;Kappa;DEV;1037;0
1;44249,00;B.1.526;Iota;DEV;1037;0
1;44256,00;B.1.351;Beta;VOC;1516;24
1;44256,00;P.1;Gamma;VOC;1516;10
1;44256,00;B.1.617.2;Delta;VOC;1516;0
1;44256,00;B.1.620;;VOI;1516;0
1;44256,00;B.1.621;Mu;VOI;1516;0
1;44256,00;C.37;Lambda;VOI;1516;0
1;44256,00;B.1.1.7;Alpha;DEV;1516;1270
1;44256,00;B.1.525;Eta;DEV;1516;7
1;44256,00;B.1.617.1;Kappa;DEV;1516;0
1;44256,00;B.1.526;Iota;DEV;1516;0
1;44263,00;B.1.351;Beta;VOC;1973;56
1;44263,00;P.1;Gamma;VOC;1973;13
1;44263,00;B.1.617.2;Delta;VOC;1973;0
1;44263,00;B.1.620;;VOI;1973;0
1;44263,00;B.1.621;Mu;VOI;1973;0
1;44263,00;C.37;Lambda;VOI;1973;0
1;44263,00;B.1.1.7;Alpha;DEV;1973;1727
1;44263,00;B.1.525;Eta;DEV;1973;5
1;44263,00;B.1.617.1;Kappa;DEV;1973;0
1;44263,00;B.1.526;Iota;DEV;1973;0
1;44270,00;B.1.351;Beta;VOC;1560;55
1;44270,00;P.1;Gamma;VOC;1560;23
1;44270,00;B.1.617.2;Delta;VOC;1560;0
1;44270,00;B.1.620;;VOI;1560;0
1;44270,00;B.1.621;Mu;VOI;1560;0
1;44270,00;C.37;Lambda;VOI;1560;0
1;44270,00;B.1.1.7;Alpha;DEV;1560;1397
1;44270,00;B.1.525;Eta;DEV;1560;2
1;44270,00;B.1.617.1;Kappa;DEV;1560;0
1;44270,00;B.1.526;Iota;DEV;1560;0
1;44277,00;B.1.351;Beta;VOC;1602;39
1;44277,00;P.1;Gamma;VOC;1602;23
1;44277,00;B.1.617.2;Delta;VOC;1602;0
1;44277,00;B.1.620;;VOI;1602;0
1;44277,00;B.1.621;Mu;VOI;1602;0
1;44277,00;C.37;Lambda;VOI;1602;0
1;44277,00;B.1.1.7;Alpha;DEV;1602;1496
1;44277,00;B.1.525;Eta;DEV;1602;0
1;44277,00;B.1.617.1;Kappa;DEV;1602;0
1;44277,00;B.1.526;Iota;DEV;1602;0
1;44284,00;B.1.351;Beta;VOC;1710;39
1;44284,00;P.1;Gamma;VOC;1710;15
1;44284,00;B.1.617.2;Delta;VOC;1710;0
1;44284,00;B.1.620;;VOI;1710;0
1;44284,00;B.1.621;Mu;VOI;1710;0
1;44284,00;C.37;Lambda;VOI;1710;0
1;44284,00;B.1.1.7;Alpha;DEV;1710;1618
1;44284,00;B.1.525;Eta;DEV;1710;1
1;44284,00;B.1.617.1;Kappa;DEV;1710;0
1;44284,00;B.1.526;Iota;DEV;1710;0
1;44291,00;B.1.351;Beta;VOC;1531;28
1;44291,00;P.1;Gamma;VOC;1531;23
1;44291,00;B.1.617.2;Delta;VOC;1531;0
1;44291,00;B.1.620;;VOI;1531;0
1;44291,00;B.1.621;Mu;VOI;1531;1
1;44291,00;C.37;Lambda;VOI;1531;0
1;44291,00;B.1.1.7;Alpha;DEV;1531;1458
1;44291,00;B.1.525;Eta;DEV;1531;2
1;44291,00;B.1.617.1;Kappa;DEV;1531;2
1;44291,00;B.1.526;Iota;DEV;1531;0
1;44298,00;B.1.351;Beta;VOC;1674;20
1;44298,00;P.1;Gamma;VOC;1674;21
1;44298,00;B.1.617.2;Delta;VOC;1674;1
1;44298,00;B.1.620;;VOI;1674;0
1;44298,00;B.1.621;Mu;VOI;1674;1
1;44298,00;C.37;Lambda;VOI;1674;0
1;44298,00;B.1.1.7;Alpha;DEV;1674;1618
1;44298,00;B.1.525;Eta;DEV;1674;1
1;44298,00;B.1.617.1;Kappa;DEV;1674;1
1;44298,00;B.1.526;Iota;DEV;1674;0
